asset_name,location_name,parameter_name,parameter_value,unit,source(s),note,suggested new value,source,note
RE_WIND_Onshore_BAU_3,PK,maximum_size,0.368258014,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_WIND_Onshore_BAU_3,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_BAU_4,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_BAU_4,PK,maximum_size,0.368258014,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_WIND_Onshore_BAU_4,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_BAU_5,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_BAU_5,PK,maximum_size,0.368258014,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_WIND_Onshore_BAU_5,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_BAU_6,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_BAU_6,PK,maximum_size,0.368258014,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_WIND_Onshore_BAU_6,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_BAU_7,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_BAU_7,PK,maximum_size,0.368258014,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_WIND_Onshore_BAU_7,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_BAU_8,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_BAU_8,PK,maximum_size,0.368258014,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_WIND_Onshore_BAU_8,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_BAU_9,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_BAU_9,PK,maximum_size,0.368258014,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_WIND_Onshore_BAU_9,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_Lim_0,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_Lim_0,PK,maximum_size,11.078,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Onshore_Lim_0,PK,sizing_constant,1.276088852,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_Lim_1,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_Lim_1,PK,maximum_size,14.4085,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Onshore_Lim_1,PK,sizing_constant,1.280659531,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_Lim_2,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_Lim_2,PK,maximum_size,19.3375,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Onshore_Lim_2,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_Lim_3,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_Lim_3,PK,maximum_size,30.3695,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Onshore_Lim_3,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_Lim_4,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_Lim_4,PK,maximum_size,29.1935,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Onshore_Lim_4,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_Lim_5,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_Lim_5,PK,maximum_size,37.24,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Onshore_Lim_5,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_Lim_6,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_Lim_6,PK,maximum_size,45.367,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Onshore_Lim_6,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_Lim_7,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_Lim_7,PK,maximum_size,43.7325,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Onshore_Lim_7,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_Lim_8,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_Lim_8,PK,maximum_size,46.4835,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Onshore_Lim_8,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_Lim_9,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_Lim_9,PK,maximum_size,51.2295,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Onshore_Lim_9,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
