Demand,Units
1.326128583,GW
1.418357648,GW
1.518645562,GW
1.609979199,GW
1.675345428,GW
1.709371685,GW
1.712057969,GW
1.692358557,GW
1.664600295,GW
1.6422146,GW
1.635946605,GW
1.649378022,GW
1.67892714,GW
1.732652808,GW
1.983372594,GW
2.273491204,GW
2.334380295,GW
2.081869653,GW
1.690567701,GW
1.447906765,GW
1.358363985,GW
1.295684038,GW
1.274193771,GW
1.298370321,GW
1.363736551,GW
1.455965616,GW
1.557148958,GW
1.649378022,GW
1.71563968,GW
1.749665937,GW
1.75235222,GW
1.732652808,GW
1.704894546,GW
1.681613423,GW
1.675345428,GW
1.687881418,GW
1.716535108,GW
1.761306498,GW
1.995013156,GW
2.287818049,GW
2.359452274,GW
2.113209627,GW
1.721907675,GW
1.476560455,GW
1.384331391,GW
1.319860589,GW
1.295684038,GW
1.318069733,GW
1.379854252,GW
1.47029246,GW
1.568789519,GW
1.657436872,GW
1.721012247,GW
1.75235222,GW
1.75235222,GW
1.729966525,GW
1.698626552,GW
1.673554573,GW
1.663704867,GW
1.673554573,GW
1.699521979,GW
1.738025375,GW
1.960091471,GW
2.251105509,GW
2.326321445,GW
2.082765081,GW
1.688776846,GW
1.440743343,GW
1.345827995,GW
1.279566337,GW
1.253598931,GW
1.273298343,GW
1.334187434,GW
1.422834787,GW
1.520436418,GW
1.607292915,GW
1.670868289,GW
1.700417407,GW
1.700417407,GW
1.677136284,GW
1.645796311,GW
1.619828904,GW
1.610874626,GW
1.620724332,GW
1.646691739,GW
1.693253985,GW
1.932333209,GW
2.221556391,GW
2.286027193,GW
2.034411979,GW
1.6422146,GW
1.395971952,GW
1.301056605,GW
1.235690375,GW
1.211513824,GW
1.175696712,GW
1.241062942,GW
1.333292006,GW
1.431789065,GW
1.515959279,GW
1.568789519,GW
1.583116364,GW
1.561626097,GW
1.516854707,GW
1.465815321,GW
1.427311926,GW
1.414775936,GW
1.430893637,GW
1.472978744,GW
1.537449546,GW
1.792646471,GW
2.108732487,GW
2.203647835,GW
1.974418316,GW
1.591175215,GW
1.347618851,GW
1.255389787,GW
1.190023557,GW
1.165847006,GW
1.190023557,GW
1.257180642,GW
1.350305134,GW
1.449697621,GW
1.534763263,GW
1.588488931,GW
1.602815776,GW
1.582220936,GW
1.537449546,GW
1.487305589,GW
1.448802193,GW
1.435370776,GW
1.452383904,GW
1.493573584,GW
1.552671819,GW
1.791751044,GW
2.109627915,GW
2.214392969,GW
1.991431445,GW
1.609083771,GW
1.363736551,GW
1.270612059,GW
1.204350402,GW
1.179278423,GW
1.202559546,GW
1.324337728,GW
1.414775936,GW
1.515063851,GW
1.604606632,GW
1.669077434,GW
1.702208263,GW
1.703103691,GW
1.682508851,GW
1.652959733,GW
1.628783182,GW
1.62161976,GW
1.633260322,GW
1.661018584,GW
1.703999118,GW
1.934124065,GW
2.226928958,GW
2.301249466,GW
2.055902247,GW
1.665495723,GW
1.420148503,GW
1.328814867,GW
1.265239492,GW
1.241958369,GW
1.265239492,GW
1.329710295,GW
1.421043931,GW
1.522227273,GW
1.612665482,GW
1.67892714,GW
1.712953396,GW
1.714744252,GW
1.695940268,GW
1.667286578,GW
1.644900883,GW
1.639528316,GW
1.652959733,GW
1.681613423,GW
1.724593958,GW
1.952032621,GW
2.24662837,GW
2.325426017,GW
2.084555937,GW
1.695940268,GW
1.451488477,GW
1.359259412,GW
1.296579466,GW
1.275089198,GW
1.299265749,GW
1.364631979,GW
1.456861043,GW
1.558044386,GW
1.649378022,GW
1.71563968,GW
1.749665937,GW
1.75235222,GW
1.733548236,GW
1.704894546,GW
1.682508851,GW
1.676240856,GW
1.688776846,GW
1.717430535,GW
1.753247648,GW
1.959196044,GW
2.25468722,GW
2.346020857,GW
2.114105054,GW
1.724593958,GW
1.476560455,GW
1.385226819,GW
1.320756017,GW
1.296579466,GW
1.318069733,GW
1.38074968,GW
1.471187888,GW
1.569684947,GW
1.6583323,GW
1.721907675,GW
1.753247648,GW
1.753247648,GW
1.730861953,GW
1.699521979,GW
1.674450001,GW
1.664600295,GW
1.674450001,GW
1.699521979,GW
1.736234519,GW
1.953823477,GW
2.244837514,GW
2.324530589,GW
2.082765081,GW
1.690567701,GW
1.440743343,GW
1.347618851,GW
1.280461765,GW
1.255389787,GW
1.275089198,GW
1.335978289,GW
1.424625642,GW
1.522227273,GW
1.609083771,GW
1.671763717,GW
1.702208263,GW
1.701312835,GW
1.67892714,GW
1.647587166,GW
1.62161976,GW
1.612665482,GW
1.622515188,GW
1.648482594,GW
1.68698599,GW
1.906365803,GW
2.198275268,GW
2.277968343,GW
2.037098263,GW
1.644900883,GW
1.397762808,GW
1.303742888,GW
1.239272086,GW
1.215095535,GW
1.179278423,GW
1.243749225,GW
1.336873717,GW
1.435370776,GW
1.51954099,GW
1.572371231,GW
1.585802648,GW
1.565207808,GW
1.520436418,GW
1.469397033,GW
1.430893637,GW
1.41746222,GW
1.434475348,GW
1.476560455,GW
1.532076979,GW
1.755933931,GW
2.074706231,GW
2.191111846,GW
1.9771046,GW
1.596547781,GW
1.351200562,GW
1.25807607,GW
1.19270984,GW
1.169428717,GW
1.193605268,GW
1.259866926,GW
1.352991418,GW
1.452383904,GW
1.537449546,GW
1.591175215,GW
1.605502059,GW
1.58490722,GW
1.54013583,GW
1.489991872,GW
1.451488477,GW
1.438057059,GW
1.455070188,GW
1.496259867,GW
1.553567247,GW
1.784587621,GW
2.102464493,GW
2.213497541,GW
1.994117728,GW
1.611770054,GW
1.366422835,GW
1.275984626,GW
1.208827541,GW
1.18465099,GW
1.207932113,GW
1.328814867,GW
1.420148503,GW
1.51954099,GW
1.609083771,GW
1.674450001,GW
1.706685402,GW
1.70758083,GW
1.68698599,GW
1.657436872,GW
1.634155749,GW
1.626096899,GW
1.638632888,GW
1.665495723,GW
1.703999118,GW
1.91979722,GW
2.213497541,GW
2.298563183,GW
2.061274814,GW
1.671763717,GW
1.424625642,GW
1.334187434,GW
1.269716632,GW
1.247330936,GW
1.270612059,GW
1.334187434,GW
1.426416498,GW
1.526704412,GW
1.618038049,GW
1.683404279,GW
1.717430535,GW
1.720116819,GW
1.700417407,GW
1.672659145,GW
1.65027345,GW
1.644005455,GW
1.657436872,GW
1.68698599,GW
1.721907675,GW
1.916215509,GW
2.212602113,GW
2.313785455,GW
2.089928504,GW
1.702208263,GW
1.455965616,GW
1.365527407,GW
1.30284746,GW
1.281357193,GW
1.305533744,GW
1.370004546,GW
1.463129038,GW
1.56431238,GW
1.655646017,GW
1.721907675,GW
1.755933931,GW
1.758620215,GW
1.739816231,GW
1.711162541,GW
1.688776846,GW
1.681613423,GW
1.69504484,GW
1.722803102,GW
1.757724787,GW
1.952032621,GW
2.24662837,GW
2.346020857,GW
2.120373049,GW
1.730861953,GW
1.48282845,GW
1.391494813,GW
1.327024011,GW
1.30284746,GW
1.325233156,GW
1.387017674,GW
1.477455883,GW
1.575952942,GW
1.664600295,GW
1.728175669,GW
1.759515642,GW
1.759515642,GW
1.737129947,GW
1.705789974,GW
1.680717995,GW
1.670868289,GW
1.680717995,GW
1.706685402,GW
1.740711658,GW
1.946660054,GW
2.23856952,GW
2.325426017,GW
2.089928504,GW
1.696835696,GW
1.447906765,GW
1.353886845,GW
1.28672976,GW
1.261657781,GW
1.281357193,GW
1.342246284,GW
1.430893637,GW
1.52759984,GW
1.615351765,GW
1.67892714,GW
1.709371685,GW
1.709371685,GW
1.687881418,GW
1.657436872,GW
1.632364894,GW
1.623410616,GW
1.634155749,GW
1.659227728,GW
1.690567701,GW
1.876816685,GW
2.168726151,GW
2.269014065,GW
2.043366258,GW
1.652959733,GW
1.404030803,GW
1.309115455,GW
1.243749225,GW
1.220468102,GW
1.183755562,GW
1.249121792,GW
1.341350856,GW
1.439847915,GW
1.524018129,GW
1.577743797,GW
1.59296607,GW
1.573266658,GW
1.530286124,GW
1.481933022,GW
1.444325054,GW
1.432684493,GW
1.449697621,GW
1.491782728,GW
1.543717541,GW
1.748770509,GW
2.065751953,GW
2.191111846,GW
1.984268022,GW
1.602815776,GW
1.355677701,GW
1.263448637,GW
1.197186979,GW
1.173905856,GW
1.198082407,GW
1.264344065,GW
1.358363985,GW
1.457756471,GW
1.542822113,GW
1.595652354,GW
1.610874626,GW
1.590279787,GW
1.545508396,GW
1.495364439,GW
1.456861043,GW
1.443429626,GW
1.459547327,GW
1.501632434,GW
1.557148958,GW
1.781901338,GW
2.100673637,GW
2.215288397,GW
1.999490295,GW
1.617142621,GW
1.371795402,GW
1.279566337,GW
1.212409252,GW
1.188232701,GW
1.211513824,GW
1.333292006,GW
1.423730214,GW
1.523122701,GW
1.612665482,GW
1.678031712,GW
1.710267113,GW
1.712057969,GW
1.691463129,GW
1.661914011,GW
1.637737461,GW
1.630574038,GW
1.6422146,GW
1.669972862,GW
1.702208263,GW
1.887561819,GW
2.182157568,GW
2.286922621,GW
2.064856525,GW
1.677136284,GW
1.428207354,GW
1.337769145,GW
1.273298343,GW
1.250912648,GW
1.274193771,GW
1.338664573,GW
1.429998209,GW
1.530286124,GW
