Demand,Units
22.949743,GW
22.74602,GW
22.990627,GW
24.193393,GW
26.961976,GW
28.185991,GW
27.508957,GW
28.465195,GW
28.846115,GW
29.147758,GW
29.211658,GW
29.171539,GW
29.081801,GW
29.452055,GW
29.77942,GW
29.810188,GW
29.761111,GW
29.608604,GW
30.75169,GW
29.854141,GW
27.540954,GW
25.25429,GW
24.146775,GW
22.763229,GW
22.372737,GW
22.292769,GW
22.574408,GW
23.742944,GW
26.724072,GW
27.927642,GW
27.290312,GW
27.994371,GW
28.141865,GW
28.440057,GW
28.603536,GW
28.64297,GW
28.488363,GW
28.796766,GW
29.082287,GW
29.229839,GW
29.235771,GW
29.554268,GW
30.523277,GW
29.611689,GW
27.335993,GW
25.179141,GW
23.993752,GW
22.949653,GW
22.623667,GW
22.432711,GW
22.741494,GW
24.006672,GW
26.992033,GW
28.07723,GW
27.570952,GW
28.446194,GW
28.833288,GW
29.061045,GW
29.219967,GW
29.059174,GW
29.028056,GW
29.094708,GW
29.410961,GW
29.579366,GW
29.37918,GW
29.56209,GW
30.526192,GW
29.590691,GW
26.932013,GW
25.033177,GW
23.957752,GW
23.219889,GW
22.814947,GW
22.656589,GW
22.901943,GW
24.04242,GW
26.920017,GW
28.030052,GW
27.678442,GW
28.69376,GW
28.916073,GW
29.220774,GW
29.281901,GW
29.031627,GW
28.821554,GW
28.782273,GW
28.776092,GW
28.852152,GW
28.498961,GW
28.397115,GW
29.131867,GW
28.231557,GW
26.555455,GW
24.97663,GW
23.75,GW
23.45413,GW
23.054426,GW
22.915849,GW
22.910651,GW
23.169328,GW
23.853015,GW
25.032741,GW
26.477689,GW
27.712728,GW
28.004717,GW
27.885882,GW
27.741589,GW
27.455562,GW
27.246231,GW
26.989725,GW
26.787706,GW
26.692058,GW
27.042661,GW
27.385492,GW
28.460477,GW
27.605713,GW
25.757258,GW
24.299184,GW
23.24013,GW
22.524833,GW
22.088307,GW
21.910805,GW
21.927821,GW
22.129783,GW
22.620354,GW
23.811372,GW
25.745417,GW
27.144652,GW
27.581423,GW
27.635086,GW
27.553911,GW
27.376233,GW
27.008257,GW
26.606441,GW
26.542863,GW
26.848138,GW
27.331855,GW
27.853885,GW
29.100806,GW
28.055961,GW
25.644541,GW
23.702479,GW
22.54033,GW
21.837783,GW
21.591737,GW
21.482076,GW
21.718777,GW
23.049221,GW
26.319654,GW
27.690992,GW
27.257141,GW
28.280173,GW
28.727075,GW
29.144831,GW
29.237364,GW
29.229826,GW
29.074073,GW
29.181993,GW
29.217447,GW
29.544531,GW
29.622474,GW
30.314696,GW
31.161771,GW
29.829073,GW
27.468235,GW
25.428528,GW
24.192048,GW
23.293072,GW
23.00016,GW
23.005737,GW
23.215459,GW
24.481524,GW
27.422644,GW
28.597204,GW
27.844152,GW
28.820472,GW
29.160056,GW
29.359711,GW
29.358412,GW
29.246824,GW
29.389661,GW
29.730298,GW
30.154722,GW
30.338577,GW
30.241765,GW
30.42032,GW
31.463143,GW
30.094546,GW
27.709809,GW
25.620389,GW
24.36537,GW
23.456746,GW
23.159563,GW
22.991646,GW
23.218082,GW
24.421274,GW
27.405683,GW
28.522169,GW
28.277957,GW
29.206384,GW
29.495699,GW
29.596653,GW
29.714599,GW
29.5032,GW
29.350042,GW
29.526631,GW
29.982909,GW
30.251843,GW
29.986531,GW
30.290129,GW
31.090394,GW
29.746462,GW
27.583898,GW
25.576672,GW
24.305904,GW
23.302618,GW
23.149991,GW
22.960734,GW
23.231743,GW
24.457382,GW
27.757366,GW
28.974772,GW
28.504856,GW
29.326896,GW
29.516118,GW
29.598937,GW
29.643467,GW
29.592922,GW
29.631703,GW
29.96061,GW
30.32888,GW
30.526825,GW
30.681587,GW
30.806199,GW
31.600088,GW
30.127859,GW
27.685273,GW
25.7147,GW
24.239574,GW
23.721412,GW
23.260498,GW
23.209252,GW
23.393273,GW
24.594506,GW
27.596684,GW
28.892186,GW
28.51924,GW
29.610407,GW
29.748916,GW
29.96704,GW
30.1103,GW
29.837836,GW
29.436831,GW
29.31647,GW
29.052122,GW
28.753888,GW
28.62215,GW
28.625335,GW
29.596287,GW
28.713731,GW
26.955395,GW
25.440525,GW
24.336814,GW
23.40985,GW
23.18117,GW
22.897297,GW
22.857647,GW
23.147695,GW
23.890316,GW
24.914794,GW
26.487329,GW
27.856321,GW
28.340896,GW
28.232439,GW
28.12016,GW
28.015874,GW
27.758802,GW
27.45598,GW
27.280811,GW
27.318548,GW
27.529774,GW
27.934742,GW
28.77704,GW
27.616167,GW
25.771125,GW
24.143985,GW
23.031997,GW
21.990321,GW
21.565415,GW
21.361661,GW
21.415567,GW
21.564185,GW
21.973423,GW
23.185843,GW
25.311024,GW
26.810815,GW
27.180856,GW
27.028724,GW
26.943556,GW
26.865443,GW
26.47614,GW
25.956807,GW
25.704588,GW
26.043783,GW
26.444635,GW
27.170341,GW
28.425907,GW
27.644114,GW
25.399286,GW
23.531041,GW
22.406724,GW
21.691901,GW
21.249676,GW
21.061977,GW
21.41153,GW
22.62232,GW
25.910159,GW
27.234624,GW
26.706586,GW
27.867856,GW
28.417448,GW
28.684406,GW
28.747772,GW
28.674083,GW
28.578521,GW
28.699314,GW
29.081041,GW
29.28264,GW
29.30305,GW
30.053048,GW
30.896152,GW
29.361158,GW
27.046134,GW
24.970803,GW
24.136743,GW
23.039915,GW
22.72068,GW
22.649446,GW
22.882292,GW
24.078174,GW
27.125843,GW
28.365673,GW
27.643685,GW
28.403508,GW
28.5738,GW
28.696251,GW
28.691985,GW
28.592596,GW
