country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_size,technology_name,technology_capacity
KR,,,,315.1,0.0,,HTH_Demand_[KR],23.8
PH,,,,185.9,0.1,,RE_PV_Openfield_BAU_[PH],3.0
PH,,,,185.9,0.1,,RE_WIND_Onshore_BAU_[PH],1.3
PH,,,,185.9,8.1,,PP_CO2_[PH],34.7
PH,,,,185.9,1.7,,FF_to_HTH_[PH],11.5
PH,,,,185.9,0.0,,EL_Demand_[PH],36.4
PH,,,,185.9,0.0,,HTH_Demand_[PH],11.5
SG,,,,37.9,0.0,,RE_PV_Openfield_BAU_[SG],0.4
SG,,,,37.9,0.0,,RE_WIND_Onshore_BAU_[SG],0.0
SG,,,,37.9,3.6,,PP_CO2_[SG],10.6
SG,,,,37.9,0.7,,FF_to_HTH_[SG],4.9
SG,,,,37.9,0.0,,EL_Demand_[SG],10.7
SG,,,,37.9,0.0,,HTH_Demand_[SG],4.9
ZA,,,,254.4,0.3,,RE_PV_Openfield_BAU_[ZA],8.7
ZA,,,,254.4,0.2,,RE_WIND_Onshore_BAU_[ZA],5.3
ZA,,,,254.4,13.9,,PP_CO2_[ZA],43.0
ZA,,,,254.4,4.4,,FF_to_HTH_[ZA],28.0
ZA,,,,254.4,0.0,,EL_Demand_[ZA],45.5
ZA,,,,254.4,0.0,,HTH_Demand_[ZA],28.0
SA,,,,521.1,0.0,,RE_PV_Openfield_BAU_[SA],0.3
SA,,,,521.1,0.0,,RE_WIND_Onshore_BAU_[SA],0.0
SA,,,,521.1,24.7,,PP_CO2_[SA],113.0
SA,,,,521.1,14.4,,FF_to_HTH_[SA],113.2
SA,,,,521.1,0.0,,EL_Demand_[SA],113.2
SA,,,,521.1,0.0,,HTH_Demand_[SA],113.2
CO,,,,51.7,0.0,,RE_PV_Openfield_BAU_[CO],1.5
CO,,,,51.7,0.0,,RE_WIND_Onshore_BAU_[CO],0.0
CO,,,,51.7,7.7,,PP_CO2_[CO],33.0
CO,,,,51.7,2.0,,FF_to_HTH_[CO],12.9
CO,,,,51.7,0.0,,EL_Demand_[CO],33.0
CO,,,,51.7,0.0,,HTH_Demand_[CO],12.9
IN,,,,2781.4,2.4,,RE_PV_Openfield_BAU_[IN],118.0
IN,,,,2781.4,5.6,,RE_WIND_Onshore_BAU_[IN],115.7
IN,,,,2781.4,82.5,,PP_CO2_[IN],344.1
IN,,,,2781.4,57.4,,FF_to_HTH_[IN],369.9
IN,,,,2781.4,0.0,,EL_Demand_[IN],369.9
IN,,,,2781.4,0.0,,HTH_Demand_[IN],369.9
AE,,,,230.5,0.1,,RE_PV_Openfield_BAU_[AE],6.2
AE,,,,230.5,0.0,,RE_WIND_Onshore_BAU_[AE],0.0
AE,,,,230.5,9.3,,PP_CO2_[AE],46.8
AE,,,,230.5,13.3,,FF_to_HTH_[AE],85.6
AE,,,,230.5,0.0,,EL_Demand_[AE],46.8
AE,,,,230.5,0.0,,HTH_Demand_[AE],85.6
KE,,,,12.3,0.0,,RE_PV_Openfield_BAU_[KE],2.1
KE,,,,12.3,0.1,,RE_WIND_Onshore_BAU_[KE],2.5
KE,,,,12.3,3.1,,PP_CO2_[KE],11.3
KE,,,,12.3,0.9,,FF_to_HTH_[KE],5.8
KE,,,,12.3,0.0,,EL_Demand_[KE],12.2
KE,,,,12.3,0.0,,HTH_Demand_[KE],5.8
MA,,,,80.9,0.0,,RE_PV_Openfield_BAU_[MA],1.1
MA,,,,80.9,0.2,,RE_WIND_Onshore_BAU_[MA],5.4
MA,,,,80.9,4.6,,PP_CO2_[MA],16.3
MA,,,,80.9,1.2,,FF_to_HTH_[MA],7.8
MA,,,,80.9,0.0,,EL_Demand_[MA],18.0
MA,,,,80.9,0.0,,HTH_Demand_[MA],7.8
NG,,,,288.7,0.0,,RE_PV_Openfield_BAU_[NG],0.7
NG,,,,288.7,0.0,,RE_WIND_Onshore_BAU_[NG],0.0
NG,,,,288.7,28.5,,PP_CO2_[NG],91.2
NG,,,,288.7,6.9,,FF_to_HTH_[NG],47.1
NG,,,,288.7,0.0,,EL_Demand_[NG],91.3
NG,,,,288.7,0.0,,HTH_Demand_[NG],47.1
VN,,,,352.6,0.8,,RE_PV_Openfield_BAU_[VN],38.2
VN,,,,352.6,0.1,,RE_WIND_Onshore_BAU_[VN],1.2
VN,,,,352.6,11.0,,PP_CO2_[VN],46.8
VN,,,,352.6,7.1,,FF_to_HTH_[VN],46.8
VN,,,,352.6,0.0,,EL_Demand_[VN],51.6
VN,,,,352.6,0.0,,HTH_Demand_[VN],46.8
PE,,,,35.1,0.0,,RE_PV_Openfield_BAU_[PE],0.7
PE,,,,35.1,0.1,,RE_WIND_Onshore_BAU_[PE],1.6
PE,,,,35.1,5.3,,PP_CO2_[PE],18.6
PE,,,,35.1,0.9,,FF_to_HTH_[PE],5.7
PE,,,,35.1,0.0,,EL_Demand_[PE],19.3
PE,,,,35.1,0.0,,HTH_Demand_[PE],5.7
