HDR,ROLLING SYSTEM DEMAND
VD,20200102120500,36793
VD,20200102121000,36919
VD,20200102121500,37024
VD,20200102122000,37038
VD,20200102122500,37031
VD,20200102123000,37041
VD,20200102123500,36978
VD,20200102124000,36934
VD,20200102124500,36932
VD,20200102125000,36975
VD,20200102125500,37032
VD,20200102130000,37063
VD,20200102130500,36931
VD,20200102131000,36974
VD,20200102131500,36952
VD,20200102132000,36988
VD,20200102132500,36997
VD,20200102133000,36918
VD,20200102133500,36869
VD,20200102134000,36768
VD,20200102134500,36684
VD,20200102135000,36752
VD,20200102135500,36686
VD,20200102140000,36651
VD,20200102140500,36919
VD,20200102141000,37000
VD,20200102141500,37032
VD,20200102142000,37002
VD,20200102142500,36947
VD,20200102143000,36896
VD,20200102143500,37062
VD,20200102144000,37181
VD,20200102144500,37296
VD,20200102145000,37421
VD,20200102145500,37400
VD,20200102150000,37466
VD,20200102150500,37800
VD,20200102151000,37872
VD,20200102151500,37949
VD,20200102152000,37971
VD,20200102152500,37978
VD,20200102153000,38098
VD,20200102153500,38087
VD,20200102154000,38137
VD,20200102154500,38178
VD,20200102155000,38287
VD,20200102155500,38418
VD,20200102160000,38641
VD,20200102160500,39033
VD,20200102161000,39109
VD,20200102161500,39302
VD,20200102162000,39596
VD,20200102162500,39871
VD,20200102163000,40054
VD,20200102163500,40276
VD,20200102164000,40493
VD,20200102164500,40671
VD,20200102165000,40807
VD,20200102165500,40886
VD,20200102170000,40865
VD,20200102170500,41140
VD,20200102171000,41106
VD,20200102171500,41046
VD,20200102172000,41132
VD,20200102172500,41323
VD,20200102173000,41319
VD,20200102173500,41326
VD,20200102174000,41320
VD,20200102174500,41246
VD,20200102175000,41110
VD,20200102175500,40986
VD,20200102180000,40969
VD,20200102180500,40766
VD,20200102181000,40690
VD,20200102181500,40455
VD,20200102182000,40316
VD,20200102182500,40154
VD,20200102183000,39994
VD,20200102183500,39917
VD,20200102184000,39871
VD,20200102184500,39821
VD,20200102185000,39695
VD,20200102185500,39491
VD,20200102190000,39252
VD,20200102190500,39293
VD,20200102191000,39010
VD,20200102191500,38637
VD,20200102192000,38501
VD,20200102192500,38199
VD,20200102193000,37999
VD,20200102193500,37959
VD,20200102194000,37882
VD,20200102194500,37728
VD,20200102195000,37547
VD,20200102195500,37293
VD,20200102200000,37038
VD,20200102200500,36768
VD,20200102201000,36459
VD,20200102201500,36068
VD,20200102202000,35628
VD,20200102202500,35405
VD,20200102203000,35176
VD,20200102203500,34896
VD,20200102204000,34607
VD,20200102204500,34308
VD,20200102205000,34121
VD,20200102205500,33922
VD,20200102210000,33583
VD,20200102210500,33290
VD,20200102211000,32944
VD,20200102211500,32602
VD,20200102212000,32276
VD,20200102212500,31949
VD,20200102213000,31623
VD,20200102213500,31279
VD,20200102214000,30903
VD,20200102214500,30643
VD,20200102215000,30395
VD,20200102215500,30104
VD,20200102220000,29775
VD,20200102220500,29695
VD,20200102221000,29658
VD,20200102221500,29434
VD,20200102222000,29237
VD,20200102222500,28957
VD,20200102223000,28836
VD,20200102223500,28743
VD,20200102224000,28597
VD,20200102224500,28278
VD,20200102225000,27984
VD,20200102225500,27719
VD,20200102230000,27439
VD,20200102230500,27307
VD,20200102231000,27239
VD,20200102231500,26951
VD,20200102232000,26729
VD,20200102232500,26599
VD,20200102233000,26391
VD,20200102233500,26297
VD,20200102234000,25986
VD,20200102234500,25796
VD,20200102235000,25569
VD,20200102235500,25435
VD,20200103000000,25406
VD,20200103000500,25600
VD,20200103001000,25682
VD,20200103001500,25723
VD,20200103002000,25651
VD,20200103002500,25607
VD,20200103003000,25613
VD,20200103003500,25888
VD,20200103004000,26101
VD,20200103004500,26216
VD,20200103005000,26257
VD,20200103005500,26315
VD,20200103010000,26308
VD,20200103010500,26172
VD,20200103011000,26189
VD,20200103011500,26283
VD,20200103012000,26358
VD,20200103012500,26279
VD,20200103013000,26233
VD,20200103013500,26139
VD,20200103014000,26030
VD,20200103014500,25979
VD,20200103015000,25972
VD,20200103015500,25994
VD,20200103020000,25881
VD,20200103020500,25891
VD,20200103021000,25945
VD,20200103021500,25900
VD,20200103022000,25786
VD,20200103022500,25610
VD,20200103023000,25553
VD,20200103023500,25904
VD,20200103024000,26039
VD,20200103024500,25784
VD,20200103025000,25570
VD,20200103025500,25427
VD,20200103030000,25363
VD,20200103030500,25587
VD,20200103031000,25577
VD,20200103031500,25469
VD,20200103032000,25348
VD,20200103032500,25272
VD,20200103033000,25265
VD,20200103033500,25191
VD,20200103034000,25148
VD,20200103034500,25172
VD,20200103035000,25101
VD,20200103035500,24971
VD,20200103040000,24729
VD,20200103040500,24424
VD,20200103041000,24244
VD,20200103041500,24218
VD,20200103042000,24158
VD,20200103042500,24139
VD,20200103043000,24141
VD,20200103043500,24234
VD,20200103044000,24186
VD,20200103044500,24026
VD,20200103045000,23845
VD,20200103045500,23842
VD,20200103050000,23872
VD,20200103050500,23906
VD,20200103051000,23984
VD,20200103051500,23958
VD,20200103052000,23964
VD,20200103052500,24001
VD,20200103053000,24114
VD,20200103053500,24305
VD,20200103054000,24434
VD,20200103054500,24495
VD,20200103055000,24746
VD,20200103055500,24891
VD,20200103060000,25059
VD,20200103060500,25895
VD,20200103061000,26577
VD,20200103061500,26991
VD,20200103062000,27293
VD,20200103062500,27368
VD,20200103063000,27620
VD,20200103063500,28110
VD,20200103064000,28335
VD,20200103064500,28456
VD,20200103065000,28571
VD,20200103065500,28811
VD,20200103070000,29159
VD,20200103070500,29734
VD,20200103071000,30336
VD,20200103071500,30787
VD,20200103072000,31203
VD,20200103072500,31715
VD,20200103073000,31946
VD,20200103073500,32108
VD,20200103074000,32349
VD,20200103074500,32655
VD,20200103075000,33018
VD,20200103075500,33383
VD,20200103080000,33706
VD,20200103080500,33926
VD,20200103081000,34206
VD,20200103081500,34497
VD,20200103082000,34664
VD,20200103082500,34827
VD,20200103083000,34908
VD,20200103083500,35053
VD,20200103084000,35366
VD,20200103084500,35680
VD,20200103085000,36010
VD,20200103085500,36212
VD,20200103090000,36414
VD,20200103090500,36721
VD,20200103091000,36858
VD,20200103091500,36917
VD,20200103092000,37115
VD,20200103092500,37206
VD,20200103093000,37481
VD,20200103093500,37445
VD,20200103094000,37276
VD,20200103094500,37253
VD,20200103095000,37348
VD,20200103095500,37504
VD,20200103100000,37445
VD,20200103100500,37535
VD,20200103101000,37627
VD,20200103101500,37537
VD,20200103102000,37480
VD,20200103102500,37368
VD,20200103103000,37360
VD,20200103103500,37356
VD,20200103104000,37143
VD,20200103104500,37000
VD,20200103105000,37063
VD,20200103105500,37015
VD,20200103110000,36953
VD,20200103110500,36941
VD,20200103111000,36903
VD,20200103111500,36947
VD,20200103112000,36926
VD,20200103112500,36880
VD,20200103113000,36813
VD,20200103113500,36907
VD,20200103114000,36970
VD,20200103114500,37082
VD,20200103115000,37102
VD,20200103115500,36974
VD,20200103120000,36990
VD,20200103120500,37053
VD,20200103121000,37056
VD,20200103121500,37005
VD,20200103122000,36977
VD,20200103122500,36865
VD,20200103123000,36817
VD,20200103123500,36869
VD,20200103124000,36794
VD,20200103124500,36722
VD,20200103125000,36591
