HDR,time,demand (MW)
VD,2.02001E+13,34607
VD,2.02001E+13,34308
VD,2.02001E+13,34121
VD,2.02001E+13,33922
VD,2.02001E+13,33583
VD,2.02001E+13,33290
VD,2.02001E+13,32944
VD,2.02001E+13,32602
VD,2.02001E+13,32276
VD,2.02001E+13,31949
VD,2.02001E+13,31623
VD,2.02001E+13,31279
VD,2.02001E+13,30903
VD,2.02001E+13,30643
VD,2.02001E+13,30395
VD,2.02001E+13,30104
VD,2.02001E+13,29775
VD,2.02001E+13,29695
VD,2.02001E+13,29658
VD,2.02001E+13,29434
VD,2.02001E+13,29237
VD,2.02001E+13,28957
VD,2.02001E+13,28836
VD,2.02001E+13,28743
VD,2.02001E+13,28597
VD,2.02001E+13,28278
VD,2.02001E+13,27984
VD,2.02001E+13,27719
VD,2.02001E+13,27439
VD,2.02001E+13,27307
VD,2.02001E+13,27239
VD,2.02001E+13,26951
VD,2.02001E+13,26729
VD,2.02001E+13,26599
VD,2.02001E+13,26391
VD,2.02001E+13,26297
VD,2.02001E+13,25986
VD,2.02001E+13,25796
VD,2.02001E+13,25569
VD,2.02001E+13,25435
VD,2.02001E+13,25406
VD,2.02001E+13,25600
VD,2.02001E+13,25682
VD,2.02001E+13,25723
VD,2.02001E+13,25651
VD,2.02001E+13,25607
VD,2.02001E+13,25613
VD,2.02001E+13,25888
VD,2.02001E+13,26101
VD,2.02001E+13,26216
VD,2.02001E+13,26257
VD,2.02001E+13,26315
VD,2.02001E+13,26308
VD,2.02001E+13,26172
VD,2.02001E+13,26189
VD,2.02001E+13,26283
VD,2.02001E+13,26358
VD,2.02001E+13,26279
VD,2.02001E+13,26233
VD,2.02001E+13,26139
VD,2.02001E+13,26030
VD,2.02001E+13,25979
VD,2.02001E+13,25972
VD,2.02001E+13,25994
VD,2.02001E+13,25881
VD,2.02001E+13,25891
VD,2.02001E+13,25945
VD,2.02001E+13,25900
VD,2.02001E+13,25786
VD,2.02001E+13,25610
VD,2.02001E+13,25553
VD,2.02001E+13,25904
VD,2.02001E+13,26039
VD,2.02001E+13,25784
VD,2.02001E+13,25570
